AUS,AUS,Austin,Austin San Jacinto,AME,,0,1,0,0,1,0.4,,,,0,1,1,1,78.4,2,Jan-18,0,0,0,0,0,0,100,
AUS,AUS,Austin,Austin Stones Crossing,AME,,0,0,0,0,1,0.2,,,,0,1,1,1,78.4,2,Jan-18,0,0,0,0,0,0,100,
AUS,AUS,Austin,Austin Waterloo,AME,,0,0,0,0,1,0.2,,,,0,1,1,1,78.4,2,Jan-18,0,0,0,0,0,0,100,
AUS,AUS,Austin,Aviara (North San Diego)- Seasons Private Dining Room,AME,,0,0,1,0,1,0.2,1,1,0,0.666666667,1,1,1,78.4,2,Jan-18,0,1,1,0,0,0.4,100,
BAH,BAH,Bahrain,Bahrain - Al Bahrain Ballroom1,MEA,,0,0,0,0,1,0.2,1,0,1,0.666666667,1,1,1,74.5,2,Jan-18,1,1,1,1,0,0.8,100,
BAH,BAH,Bahrain,Bahrain - Al Bahrain Ballroom2,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - Al Bahrain Ballroom3,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - Al Manama Ballroom 1,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - Al Manama Ballroom 2,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - Board Room 50,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - Board Room 51,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - SKY1,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - SKY2,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - SKY3,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAH,BAH,Bahrain,Bahrain - SKY4,MEA,,0,0,0,0,1,0.2,,,,0,1,1,1,74.5,2,Jan-18,0,0,0,0,0,0,100,
BAL,BAL,Bali at Jimbaran,Bali at Jimbaran - Gili Jimbaran,ASP,,0,0,0,0,1,0.2,,,,0,1,0.5,0.72,71.8,1,Jan-10,0,0,0,0,0,0,100,
BAL,BAL,Bali at Jimbaran,Bali at Jimbaran - Jepunsari,ASP,,0,0,0,0,1,0.2,,,,0,1,0.5,0.72,71.8,1,Jan-10,0,0,0,0,0,0,2131,
BAL,BAL,Bali at Jimbaran,Bali at Jimbaran - Sundara Mezzanine,ASP,,0,1,0,0,1,0.4,,,,0,1,0.5,0.72,71.8,1,Jan-10,0,0,0,0,0,0,100,
BEI,BEI,Beirut,Beirut - Corniche Foyer,MEA,,0,0,0,0,1,0.2,0,0,0,0,1,1,0.8,62.3,1,Jan-10,1,1,1,0,0,0.6,990,
BEI,BEI,Beirut,Beirut - Corniche Room,MEA,,0,0,0,0,0,0,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,652,
BEI,BEI,Beirut,Beirut - Executive Boardroom,MEA,,0,0,0,0,1,0.2,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,540,
BEI,BEI,Beirut,Beirut - Executive Boardroom Foyer/Parlour,MEA,,0,0,0,0,1,0.2,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,430,
BEI,BEI,Beirut,Beirut - Grand Ballroom,MEA,,0,0,0,0,0,0,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,100,
BEI,BEI,Beirut,Beirut - Grand Ballroom Pre-function/Foyer,MEA,,0,0,0,0,1,0.2,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,100,
BEI,BEI,Beirut,Beirut - Grand Ballroom Terrace,MEA,,0,0,0,0,1,0.2,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,100,
BEI,BEI,Beirut,Beirut - Marina Boardroom,MEA,,0,0,0,0,1,0.2,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,624,
BEI,BEI,Beirut,Beirut - Promenade Room,MEA,,0,0,0,0,0,0,0,0,0,0,1,1,0.8,62.3,1,Jan-10,0,0,0,0,0,0,1077,
BEJ,BEJ,Beijing,Beijing - Beijing Ballroom,ASP,,0,0,0,0,0,0,1,0,0,0.333333333,1,1,1,78.2,2,Jan-18,0,0,1,0,0,0.2,100,
BEJ,BEJ,Beijing,Beijing - Beijing Ballroom Pre-function,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Imperial Ballroom,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Imperial Ballroom Pre-function,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Qing (II & III),ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Qing I,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Qing IV,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Qing Pre-function,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Qing V,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Song,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Tang (I-III),ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Tang IV,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
BEJ,BEJ,Beijing,Beijing - Tang Pre-function,ASP,,0,0,0,0,0,0,0,0,0,0,1,1,1,78.2,2,Jan-18,0,0,0,0,0,0,100,
