78,PAL,Palo Alto,AME,1,1,1,66.1,2,Jan-18,
79,PAR,Paris,EUR,1,1,1,81.4,1,Jan-10,
77,PBF,Palm Beach,AME,0.5,0.5,0.4,54.8,1,Jan-10,
80,PRG,Prague,EUR,1,1,1,80.6,2,Jan-18,
90,PUD,Shanghai Pudong,ASP,1,1,1,64.1,2,Jan-18,
81,PUN,Punta Mita,AME,1,0,0.64,78,1,Jan-10,
82,RIY,Riyadh,MEA,1,1,0.8,53.6,1,Jan-10,
95,RSN,Singapore (Regent),ASP,0,0,0,0,0,Jan-00,
84,SAB,Santa Barbara,AME,1,0.5,0.72,66.7,1,Jan-10,
100,SBT,"Tanzania, Safari Lodge",MEA,1,1,1,91.8,2,Jan-18,
86,SCO,Scottsdale,AME,1,0.5,0.9,70.4,2,Jan-18,
87,SDI,Seychelles at Desroches Island,MEA,1,1,1,85.7,2,Jan-18,
89,SEW,Seattle,AME,1,1,0.8,82.5,1,Jan-10,
83,SEY,Seychelles,MEA,1,0.5,0.72,63.5,1,Jan-10,
92,SFR,San Francisco,AME,1,1,1,74.8,2,Jan-18,
91,SHA,Sharm El Sheikh,MEA,1,0.5,0.45,74.7,0,Jan-00,
94,SHG,Shanghai Puxi,ASP,1,0.5,0.9,59.4,2,Jan-18,
88,SIN,Singapore,ASP,1,1,0.5,72.9,0,Jan-00,
97,SKO,Seoul,ASP,1,1,1,81.7,2,Jan-18,
85,SPT,St. Petersburg,EUR,1,1,1,85.3,2,Jan-18,
96,SSF,Santa Fe,AME,1,0.5,0.72,69.8,1,Jan-10,
99,STL,St. Louis,AME,1,1,0.8,74,1,Jan-10,
93,SYD,Sydney,ASP,0,0.5,0.05,47.8,0,Jan-00,
103,SZH,Shenzhen,ASP,1,1,1,75.1,2,Jan-18,
101,TFY,Toronto,AME,1,1,1,79.3,2,Jan-18,
58,TNJ,Tianjin,ASP,1,1,1,74.6,2,Jan-18,
104,TRI,London at Ten Trinity,EUR,1,1,1,79.6,2,Jan-18,
11,TSH,Tunis,MEA,1,1,1,52.6,2,Jan-18,
105,UBU,Bali at Sayan,ASP,1,0.5,0.72,87.1,1,Jan-10,
106,VAI,Vail,AME,1,0.5,0.72,75.8,1,Jan-10,
55,VCR,Vancouver,AME,0,0.5,0.05,65.4,0,Jan-00,
107,VGS,Las Vegas,AME,1,0.5,0.9,79.7,2,Jan-18,
108,WAS,Washington,AME,1,1,1,85.2,2,Jan-18,
109,WES,Westlake,AME,1,1,0.5,72.5,0,Jan-00,
110,WHI,Whistler,AME,1,1,0.5,63.9,0,Jan-00,
