NEV,NEV,Nevis,AME,1,1,0.5,52.8,0,Jan-00,,
NMH,NMH,Nam Hai,ASP,1,1,0.8,71,1,Jan-10,,
NYD,NYD,New York Downtown,AME,1,1,1,82.6,2,Jan-18,,
NYF,NYF,New York,AME,0.5,1,0.6,71.5,2,Jan-18,,
OAH,OAH,Ko Olina,AME,1,0.5,0.9,67.9,2,Jan-18,,
ORL,ORL,Orlando,AME,1,1,1,79.8,2,Jan-18,,
PAL,PAL,Palo Alto,AME,1,1,0.5,66.1,0,Jan-00,,
PAR,PAR,Paris,EUR,1,1,1,81.4,1,Jan-10,,
PBF,PBF,Palm Beach,AME,1,1,0.8,54.8,1,Jan-10,,
PRG,PRG,Prague,EUR,1,0.5,0.9,80.6,2,Jan-18,,
PUD,PUD,Shanghai Pudong,ASP,1,1,1,64.1,2,Jan-18,,
PUN,PUN,Punta Mita,AME,1,1,1,78,2,Jan-18,,
RIY,RIY,Riyadh,MEA,1,1,1,53.6,2,Jan-18,,
RSN,RSN,Singapore (Regent),ASP,0,0,0,0,0,Jan-00,,
SAB,SAB,Santa Barbara,AME,1,0.5,0.72,66.7,1,Jan-10,,
SBT,SBT,"Tanzania, Safari Lodge",MEA,1,0.5,0.72,91.8,1,Jan-10,,
SCO,SCO,Scottsdale,AME,1,1,1,70.4,2,Jan-18,,
SDI,SDI,Seychelles at Desroches Island,MEA,1,1,1,85.7,2,Jan-18,,
SEW,SEW,Seattle,AME,1,1,0.8,82.5,1,Jan-10,,
SEY,SEY,Seychelles,MEA,1,1,0.8,63.5,1,Jan-10,,
,SFR,San Francisco,AME,1,1,0.5,74.8,0,Jan-00,x,
SHA,SHA,Sharm El Sheikh,MEA,1,1,0.5,74.7,0,Jan-00,,
SHG,SHG,Shanghai Puxi,ASP,1,1,0.5,59.4,0,Jan-00,,
SIN,SIN,Singapore,ASP,1,1,0.5,72.9,0,Jan-00,,
SKO,SKO,Seoul,ASP,1,1,1,81.7,2,Jan-18,,
SPT,SPT,St. Petersburg,EUR,1,0.5,0.9,85.3,2,Jan-18,,
SSF,SSF,Santa Fe,AME,1,0.5,0.72,69.8,1,Jan-10,,
STL,STL,St. Louis,AME,1,1,0.8,74,1,Jan-10,,
SYD,SYD,Sydney,ASP,1,1,0.5,47.8,0,Jan-00,,
SZH,SZH,Shenzhen,ASP,1,1,1,75.1,2,Jan-18,,
TFY,TFY,Toronto,AME,1,1,1,79.3,2,Jan-18,,
TNJ,TNJ,Tianjin,ASP,1,1,1,74.6,2,Jan-18,,
TRI,TRI,London at Ten Trinity,EUR,1,1,1,79.6,2,Jan-18,,
TSH,TSH,Tunis,MEA,1,1,1,52.6,2,Jan-18,,
UBU,UBU,Bali at Sayan,ASP,1,1,0.5,87.1,0,Jan-00,,
VAI,VAI,Vail,AME,1,1,0.8,75.8,1,Jan-10,,
VCR,VCR,Vancouver,AME,1,1,0.5,65.4,0,Jan-00,,
VGS,VGS,Las Vegas,AME,1,0.5,0.9,79.7,2,Jan-18,,
WAS,WAS,Washington,AME,0,0,0,85.2,0,Jan-00,,
WES,WES,Westlake,AME,1,1,0.5,72.5,0,Jan-00,,
WHI,WHI,Whistler,AME,1,1,0.5,63.9,0,Jan-00,,
